date,station_id,station_name,nitrogen_mg_per_L,phosphorus_mg_per_L,heavy_metals_ppb,turbidity_ntu,ph,dissolved_oxygen_mg_per_L,temperature_celsius,Water Quality
1/1/23,North,North Shore,0.61,0.026,11.8,4.1,7.44,8.6,6.8,Healthy
1/1/23,South,South Shore,0.81,0.021,8.5,4.1,7.11,8.3,4,Healthy
1/1/23,East,East Shore,0.87,0.024,11.9,5.9,7.1,8.7,6.4,Healthy
1/1/23,West,West Shore,0.77,0.023,12.2,7.8,7.15,8,4,Healthy
1/8/23,North,North Shore,0.9,0.036,13.1,6.6,7.59,8.3,5.1,Healthy
1/8/23,South,South Shore,1.01,0.032,11.3,7.3,7.45,8.4,4,Healthy
1/8/23,East,East Shore,0.74,0.022,9.4,4.2,7.24,7.7,6.1,Healthy
1/8/23,West,West Shore,0.79,0.024,10.2,4.3,7.42,8.9,6,Healthy
1/15/23,North,North Shore,0.96,0.023,9,4.9,7.42,9,6.2,Healthy
1/15/23,South,South Shore,1.02,0.036,12.1,4.1,7.26,7.5,5.1,Healthy
1/15/23,East,East Shore,1.07,0.038,9.3,4.6,7.3,8.5,7.7,Healthy
1/15/23,West,West Shore,0.73,0.025,10.8,5.8,7.39,7.9,7.6,Healthy
1/22/23,North,North Shore,0.71,0.04,10.4,5.5,7.12,7.6,5,Healthy
1/22/23,South,South Shore,1,0.028,11.8,3.3,7.6,8.1,6.7,Healthy
1/22/23,East,East Shore,1.03,0.02,13.8,6.6,7.37,8.5,5.7,Healthy
1/22/23,West,West Shore,0.66,0.029,11.8,5.3,7.54,8.9,5.6,Healthy
1/29/23,North,North Shore,0.69,0.038,11,7.4,7.42,7.9,7.7,Healthy
1/29/23,South,South Shore,0.98,0.031,8.9,6.9,7.1,8.3,6.6,Healthy
1/29/23,East,East Shore,1.06,0.038,8.1,7.2,7.13,8,8.8,Healthy
1/29/23,West,West Shore,0.64,0.03,13.7,3.3,7.48,8.6,5.8,Healthy
2/5/23,North,North Shore,0.87,0.025,10.9,7.4,7.21,8.1,8.3,Healthy
2/5/23,South,South Shore,0.7,0.026,12.4,8,7.32,8.5,8.2,Healthy
2/5/23,East,East Shore,0.71,0.027,8.7,5.9,7.21,7.8,6.4,Healthy
2/5/23,West,West Shore,0.71,0.038,11.8,7.3,7.22,7.6,8.8,Healthy
2/12/23,North,North Shore,0.67,0.039,9.3,5.9,7.49,8.2,10.3,Healthy
2/12/23,South,South Shore,0.65,0.029,9.1,5.1,7.46,8.2,9.7,Healthy
2/12/23,East,East Shore,0.65,0.028,13.9,4.7,7.22,8.8,7.8,Healthy
2/12/23,West,West Shore,0.81,0.026,10.7,4.2,7.32,8.9,10.5,Healthy
2/19/23,North,North Shore,0.63,0.04,11.3,7.2,7.56,9,11.5,Healthy
2/19/23,South,South Shore,0.84,0.024,9,5,7.29,7.6,12,Healthy
2/19/23,East,East Shore,0.99,0.029,9.6,5.1,7.6,8.9,10.3,Healthy
2/19/23,West,West Shore,0.68,0.026,12.3,7.8,7.37,8.4,11.1,Healthy
2/26/23,North,North Shore,0.89,0.03,8.3,7.3,7.58,7.7,9.5,Healthy
2/26/23,South,South Shore,0.9,0.034,9.1,4.2,7.55,7.7,10.1,Healthy
2/26/23,East,East Shore,0.91,0.028,11.6,5.9,7.57,8.3,10,Healthy
2/26/23,West,West Shore,0.72,0.028,12.3,6.4,7.26,7.9,12.2,Healthy
3/5/23,North,North Shore,0.83,0.04,8.4,8,7.21,7.6,11.3,Healthy
3/5/23,South,South Shore,1.04,0.038,13.6,4.8,7.52,7.7,13.1,Healthy
3/5/23,East,East Shore,1.09,0.033,11.7,3,7.25,8.7,12.9,Healthy
3/5/23,West,West Shore,0.67,0.022,13.6,3.5,7.24,8.3,12.7,Healthy
3/12/23,North,North Shore,0.7,0.033,12.3,4.3,7.55,8.2,14.8,Healthy
3/12/23,South,South Shore,0.81,0.026,8.6,3,7.42,8.7,12.5,Healthy
3/12/23,East,East Shore,0.88,0.029,12.4,3,7.54,7.6,15.1,Healthy
3/12/23,West,West Shore,1.02,0.032,11.3,3.7,7.25,7.7,15.1,Healthy
3/19/23,North,North Shore,1.05,0.024,20.1,4.2,7.36,6.8,15.1,Concern
3/19/23,South,South Shore,1.03,0.04,11.7,7.1,7.11,8.8,15.6,Healthy
3/19/23,East,East Shore,1,0.037,12.8,7.1,7.49,7.9,13.1,Healthy
3/19/23,West,West Shore,0.71,0.036,38.4,5.3,6.91,6.3,13.4,Violation
3/26/23,North,North Shore,1.03,0.039,10,4.4,7.3,8.5,17.8,Healthy
3/26/23,South,South Shore,1.07,0.022,11.2,7.9,7.58,7.8,14.9,Healthy
3/26/23,East,East Shore,0.82,0.035,8.7,4.6,7.36,8.4,15.4,Healthy
3/26/23,West,West Shore,0.73,0.034,11.5,3,7.37,8.9,16.7,Healthy
4/2/23,North,North Shore,0.94,0.027,12.5,3.3,7.27,8.5,16.3,Healthy
4/2/23,South,South Shore,0.96,0.026,13.1,4.5,7.3,8.1,16.2,Healthy
4/2/23,East,East Shore,0.81,0.039,8.8,6.4,7.41,8.9,16.3,Healthy
4/2/23,West,West Shore,0.6,0.026,11.3,5.1,7.43,8.4,16.9,Healthy
4/9/23,North,North Shore,0.71,0.029,10.7,7.5,7.18,8.7,16.6,Healthy
4/9/23,South,South Shore,0.92,0.027,11.1,7.1,7.44,8.6,17.1,Healthy
4/9/23,East,East Shore,0.61,0.025,9.2,5.4,7.14,8.8,17.9,Healthy
4/9/23,West,West Shore,0.7,0.034,11.8,5.5,7.43,7.9,16.2,Healthy
4/16/23,North,North Shore,1.53,0.052,12.5,7.8,7.13,8.3,18.3,Concern
4/16/23,South,South Shore,0.83,0.036,13.1,6.3,7.4,9,21.1,Healthy
4/16/23,East,East Shore,0.91,0.034,13.3,5.5,7.37,8.7,20.9,Healthy
4/16/23,West,West Shore,0.99,0.025,12.5,6.2,7.36,8.6,19.8,Healthy
4/23/23,North,North Shore,0.92,0.052,9.6,5.7,7.22,7.7,21.2,Concern
4/23/23,South,South Shore,0.63,0.028,12.2,5.7,7.2,8.1,20.1,Healthy
4/23/23,East,East Shore,0.89,0.034,13.4,7.3,7.29,8.6,18.4,Healthy
4/23/23,West,West Shore,1.25,0.039,10.1,5.1,7.37,8.6,20.8,Healthy
4/30/23,North,North Shore,0.71,0.029,9.3,3.1,7.44,8,21,Healthy
4/30/23,South,South Shore,0.83,0.023,9,6.1,7.3,7.5,21.6,Healthy
4/30/23,East,East Shore,0.92,0.023,8.2,5.3,7.29,7.6,20.2,Healthy
4/30/23,West,West Shore,0.98,0.028,10,6.8,7.23,8.7,19.7,Healthy
5/7/23,North,North Shore,0.87,0.04,8.1,4.7,7.49,8.5,22.8,Healthy
5/7/23,South,South Shore,1.07,0.024,12.5,3.1,7.16,7.7,22.9,Healthy
5/7/23,East,East Shore,0.71,0.06,11.4,18.7,7.51,7.6,24.1,Concern
5/7/23,West,West Shore,0.61,0.026,8.6,6.4,7.3,8.9,23.1,Healthy
5/14/23,North,North Shore,0.95,0.033,8.5,3.5,7.53,8.7,23.4,Healthy
5/14/23,South,South Shore,1.09,0.036,8.7,4.7,7.29,8.1,23,Healthy
5/14/23,East,East Shore,1.02,0.053,10,17.6,7.32,7.4,23.9,Concern
5/14/23,West,West Shore,0.74,0.036,13.8,5.7,7.32,8.2,23.9,Healthy
5/21/23,North,North Shore,1.03,0.037,9.6,3.4,7.22,8.8,23.5,Healthy
5/21/23,South,South Shore,0.79,0.021,11.7,7.3,7.21,7.8,24.9,Healthy
5/21/23,East,East Shore,1.04,0.053,10,14.7,7.34,6.3,24.7,Concern
5/21/23,West,West Shore,0.92,0.03,12.1,7,7.21,7.6,24.4,Healthy
5/28/23,North,North Shore,0.89,0.029,9.8,5.7,7.47,8.1,23.5,Healthy
5/28/23,South,South Shore,0.74,0.025,12.2,3.6,7.16,7.8,24.4,Healthy
5/28/23,East,East Shore,0.69,0.047,12.6,18.5,7.15,7.8,23,Concern
5/28/23,West,West Shore,0.69,0.02,9.4,5.7,7.59,7.9,24.4,Healthy
6/4/23,North,North Shore,0.66,0.037,12.2,5.5,7.39,8.3,24.5,Healthy
6/4/23,South,South Shore,0.69,0.021,10.6,7.7,7.51,7.7,24.2,Healthy
6/4/23,East,East Shore,0.91,0.038,8.4,10.3,7.48,8.1,25,Concern
6/4/23,West,West Shore,0.71,0.03,12.7,5.3,7.53,7.7,26.6,Healthy
6/11/23,North,North Shore,0.91,0.032,9.8,6.7,7.2,8.4,23.7,Healthy
6/11/23,South,South Shore,0.68,0.023,12,3.4,7.33,7,25.2,Healthy
6/11/23,East,East Shore,0.72,0.06,9.7,11.7,7.41,7.7,25.5,Concern
6/11/23,West,West Shore,0.81,0.031,13.6,6.2,7.51,8.4,23.2,Healthy
6/18/23,North,North Shore,0.75,0.035,9,5.8,7.16,7.4,25.7,Healthy
6/18/23,South,South Shore,1.07,0.03,12.2,5.5,7.12,7.1,24.7,Healthy
6/18/23,East,East Shore,0.73,0.022,9.9,7.8,7.39,8.3,26.8,Healthy
6/18/23,West,West Shore,0.94,0.025,14,3.2,7.34,8.1,25.6,Healthy
6/25/23,North,North Shore,0.89,0.033,18.1,5.5,7.27,7.1,24.3,Healthy
6/25/23,South,South Shore,0.76,0.034,14.2,4.4,7.51,8.4,25.2,Healthy
6/25/23,East,East Shore,0.76,0.039,12,5,7.59,7.8,25.6,Healthy
6/25/23,West,West Shore,0.69,0.027,32.8,6.8,6.79,6.3,26.7,Violation
7/2/23,North,North Shore,0.95,0.022,10.6,7.9,7.22,7.9,23.4,Healthy
7/2/23,South,South Shore,0.88,0.022,11.3,8,7.33,8.4,23.3,Healthy
7/2/23,East,East Shore,0.85,0.034,13,5.5,7.52,7.4,26.7,Healthy
7/2/23,West,West Shore,0.88,0.028,9.5,7.6,7.54,7.8,26.3,Healthy
7/9/23,North,North Shore,1,0.028,9.7,7.7,7.51,7.8,23.6,Healthy
7/9/23,South,South Shore,0.89,0.04,9.8,5.4,7.37,7.2,23.9,Healthy
7/9/23,East,East Shore,0.87,0.029,11.3,4.6,7.45,7.3,24.8,Healthy
7/9/23,West,West Shore,0.99,0.021,9.4,6.7,7.51,8.1,24,Healthy
7/16/23,North,North Shore,1.01,0.04,12,5.5,7.35,7.1,24.4,Healthy
7/16/23,South,South Shore,1.04,0.029,13.2,5.6,7.46,7.7,23.7,Healthy
7/16/23,East,East Shore,0.68,0.029,11.9,7.8,7.45,7.5,24.6,Healthy
7/16/23,West,West Shore,1.03,0.037,13.1,4.9,7.46,7.5,25.1,Healthy
7/23/23,North,North Shore,0.62,0.021,13.2,6.2,7.6,8.4,24.4,Healthy
7/23/23,South,South Shore,0.65,0.033,10.6,7.4,7.45,7.7,25.1,Healthy
7/23/23,East,East Shore,1,0.026,8.3,4.9,7.37,7.2,23.7,Healthy
7/23/23,West,West Shore,0.68,0.022,12.8,7.4,7.22,7.9,25.1,Healthy
7/30/23,North,North Shore,0.83,0.025,8.9,4.3,7.5,7,24.4,Healthy
7/30/23,South,South Shore,0.68,0.029,12.1,4.7,7.42,7.9,22.4,Healthy
7/30/23,East,East Shore,1.02,0.024,9.5,4.9,7.22,7.7,23,Healthy
7/30/23,West,West Shore,1.1,0.026,11.4,7.9,7.24,8,23,Healthy
8/6/23,North,North Shore,0.97,0.021,12.1,6,7.55,7.7,21.1,Healthy
8/6/23,South,South Shore,0.9,0.027,12.8,6.2,7.44,7.9,22.8,Healthy
8/6/23,East,East Shore,1.02,0.033,12,7.5,7.25,8,21.7,Healthy
8/6/23,West,West Shore,0.97,0.022,11.5,4.5,7.19,8.1,20.5,Healthy
8/13/23,North,North Shore,1.09,0.031,11.2,7.6,7.23,8.2,22.3,Healthy
8/13/23,South,South Shore,1,0.035,10.9,4.7,7.58,7.2,19.6,Healthy
8/13/23,East,East Shore,1.03,0.034,13.8,7.9,7.5,8.5,20.5,Healthy
8/13/23,West,West Shore,0.61,0.031,12.7,5.3,7.44,8,21.4,Healthy
8/20/23,North,North Shore,1.07,0.022,12.9,4.2,7.54,7,20.3,Healthy
8/20/23,South,South Shore,0.71,0.021,13.5,7.1,7.25,8.4,19.6,Healthy
8/20/23,East,East Shore,1.07,0.026,8.8,5.5,7.54,7.1,18.6,Healthy
8/20/23,West,West Shore,0.94,0.035,10.7,7.7,7.47,7.6,18.6,Healthy
8/27/23,North,North Shore,0.65,0.03,10.5,5,7.12,8.4,18.4,Healthy
8/27/23,South,South Shore,1.08,0.037,10.7,3.5,7.37,8,20.8,Healthy
8/27/23,East,East Shore,0.8,0.024,10.2,3.6,7.33,8.3,19.6,Healthy
8/27/23,West,West Shore,0.9,0.02,11.9,6.9,7.16,7.4,19.2,Healthy
9/3/23,North,North Shore,0.98,0.024,8.4,4.1,7.26,8.8,16.4,Healthy
9/3/23,South,South Shore,0.6,0.037,13.4,3.7,7.23,7.7,16.5,Healthy
9/3/23,East,East Shore,0.61,0.02,12,6.9,7.26,7.9,16.5,Healthy
9/3/23,West,West Shore,0.97,0.031,8.3,6.7,7.49,8.2,17.9,Healthy
9/10/23,North,North Shore,1.73,0.057,8.7,7.3,7.33,8.3,18.5,Concern
9/10/23,South,South Shore,0.84,0.028,8.4,6.4,7.55,8.2,14.9,Healthy
9/10/23,East,East Shore,0.9,0.021,8.5,4.4,7.37,8.4,15.9,Healthy
9/10/23,West,West Shore,1.06,0.032,14,3.5,7.53,8.6,17.2,Healthy
9/17/23,North,North Shore,1.22,0.054,12.6,4.7,7.31,8.2,13.8,Concern
9/17/23,South,South Shore,0.93,0.027,10.6,3.8,7.13,8.9,16.8,Healthy
9/17/23,East,East Shore,0.65,0.035,8.6,7.1,7.39,8.3,15.7,Healthy
9/17/23,West,West Shore,0.83,0.033,10,6.8,7.46,8.8,17.3,Healthy
9/24/23,North,North Shore,0.89,0.024,13.5,6.3,7.15,7.8,15.6,Healthy
9/24/23,South,South Shore,0.89,0.036,11.1,7.2,7.51,9,14.7,Healthy
9/24/23,East,East Shore,1.06,0.037,11.9,4.3,7.45,7.8,13.5,Healthy
9/24/23,West,West Shore,1.03,0.031,18.1,5,7.42,7.7,12.3,Healthy
10/1/23,North,North Shore,0.71,0.028,12.5,4.7,7.46,8.1,14.1,Healthy
10/1/23,South,South Shore,0.64,0.021,11.4,3.8,7.44,8.4,12.1,Healthy
10/1/23,East,East Shore,0.84,0.029,12,4.4,7.16,8.6,12.8,Healthy
10/1/23,West,West Shore,0.94,0.03,9.7,6.3,7.3,7.6,13.4,Healthy
10/8/23,North,North Shore,0.75,0.024,8,3.7,7.26,7.9,9.9,Healthy
10/8/23,South,South Shore,0.69,0.028,12.5,6.5,7.52,8.3,13.1,Healthy
10/8/23,East,East Shore,1.03,0.021,8.4,3.1,7.53,8.9,12.2,Healthy
10/8/23,West,West Shore,0.95,0.028,11.4,3.6,7.26,7.5,13.1,Healthy
10/15/23,North,North Shore,1.02,0.038,11.7,3.4,7.22,8.8,11.1,Healthy
10/15/23,South,South Shore,0.8,0.026,11.1,4.7,7.18,8,10.8,Healthy
10/15/23,East,East Shore,0.85,0.058,8.7,23.2,7.17,7.6,9.5,Concern
10/15/23,West,West Shore,0.98,0.033,11.6,3.9,7.35,8.7,11.8,Healthy
10/22/23,North,North Shore,0.82,0.038,12.6,5.8,7.41,8.5,11.1,Healthy
10/22/23,South,South Shore,0.68,0.021,11.8,5.2,7.24,8,7.9,Healthy
10/22/23,East,East Shore,0.76,0.045,11,17.8,7.41,7.4,9.7,Concern
10/22/23,West,West Shore,0.88,0.036,10.8,7.5,7.5,8.2,10.3,Healthy
10/29/23,North,North Shore,0.84,0.023,9.9,3.3,7.55,7.7,8.1,Healthy
10/29/23,South,South Shore,0.85,0.023,12.3,4.2,7.32,8.2,8.8,Healthy
10/29/23,East,East Shore,0.79,0.047,9,14.3,7.13,7.4,7.1,Concern
10/29/23,West,West Shore,0.74,0.034,12.1,6.3,7.54,8.9,8,Healthy
11/5/23,North,North Shore,0.67,0.027,11.5,7.8,7.3,8.5,8.2,Healthy
11/5/23,South,South Shore,0.75,0.028,13.6,7,7.44,8.7,9.1,Healthy
11/5/23,East,East Shore,0.94,0.055,12.4,13.3,7.21,7.7,9.6,Concern
11/5/23,West,West Shore,0.71,0.023,10.9,3.4,7.15,8.8,8.9,Healthy
11/12/23,North,North Shore,1.04,0.021,13,4.7,7.17,8.6,6.5,Healthy
11/12/23,South,South Shore,1.02,0.035,9,7,7.32,7.7,6.7,Healthy
11/12/23,East,East Shore,0.72,0.048,12.1,15.4,7.5,7.8,6.9,Concern
11/12/23,West,West Shore,0.78,0.039,13,7.9,7.24,8.2,6.6,Healthy
11/19/23,North,North Shore,1.08,0.036,11.2,7,7.23,7.7,6.9,Healthy
11/19/23,South,South Shore,0.88,0.022,13.2,7.2,7.24,8.8,7.4,Healthy
11/19/23,East,East Shore,1.05,0.023,9.6,5.2,7.21,8.9,6.2,Healthy
11/19/23,West,West Shore,0.61,0.021,10.1,5.5,7.6,7.9,5.9,Healthy
11/26/23,North,North Shore,1.07,0.037,8.2,6.2,7.17,8.7,5,Healthy
11/26/23,South,South Shore,0.95,0.023,13,6.5,7.1,8.2,4.1,Healthy
11/26/23,East,East Shore,1.02,0.031,9.5,6.6,7.16,8.3,5,Healthy
11/26/23,West,West Shore,0.62,0.028,9.8,7,7.16,8.2,7.4,Healthy
12/3/23,North,North Shore,0.61,0.03,11.6,4.2,7.31,7.7,5.9,Healthy
12/3/23,South,South Shore,0.81,0.033,9.4,3.4,7.13,9,5.5,Healthy
12/3/23,East,East Shore,1.09,0.031,11,5,7.42,8.2,7.3,Healthy
12/3/23,West,West Shore,0.61,0.036,9.5,4.7,7.41,8.6,6.5,Healthy
12/10/23,North,North Shore,0.62,0.031,20,7.1,7.09,6.9,5.7,Concern
12/10/23,South,South Shore,0.99,0.029,14.2,4.5,7.2,7.6,4,Healthy
12/10/23,East,East Shore,1.09,0.031,16,4.3,7.2,8.6,4.6,Healthy
12/10/23,West,West Shore,0.77,0.022,48.8,4.8,7.17,7.2,7,Violation
12/17/23,North,North Shore,0.85,0.038,11,5.6,7.46,8.7,4,Healthy
12/17/23,South,South Shore,1.01,0.031,11.6,4.6,7.43,7.6,4.2,Healthy
12/17/23,East,East Shore,0.81,0.034,11.6,4.8,7.54,7.6,4.4,Healthy
12/17/23,West,West Shore,0.74,0.04,14,7.7,7.42,7.6,4.5,Healthy
12/24/23,North,North Shore,0.94,0.039,12.8,3.7,7.49,8.4,4,Healthy
12/24/23,South,South Shore,0.99,0.027,8.4,4.9,7.4,8.4,5.7,Healthy
12/24/23,East,East Shore,0.79,0.035,13.7,5.9,7.3,8.3,5.6,Healthy
12/24/23,West,West Shore,0.66,0.035,9.5,5.5,7.38,8.1,4.1,Healthy
